station,Estacio,sensor,pollutant,pearson_r,pearson_p,n
Barcelona - Eixample,43,3807,Black Carbon,0.2685474891278722,3.9708468337559617e-13,706
Barcelona - Eixample,43,3807,CO,0.1979861026941184,1.0654840744359967e-07,709
Barcelona - Eixample,43,3807,NO,0.43834324756516,1.0677956514396151e-34,710
Barcelona - Eixample,43,3807,NO2,0.26750610491673743,4.2342184803743063e-13,710
Barcelona - Eixample,43,3807,O3,0.08918546999025617,0.017455440666261854,710
Barcelona - Eixample,43,3807,PM10,0.09941512954292811,0.008072405554387098,709
Barcelona - Eixample,43,3807,PM2.5,0.0550990557785052,0.14302661469238417,708
Barcelona - Eixample,43,3807,SO2,0.04829112068046089,0.19902623712700776,709
Barcelona - Gràcia,44,1627,NO,0.40665159070010043,9.027165771363967e-30,713
Barcelona - Gràcia,44,1627,NO2,0.34282762129139915,4.290557789421431e-21,713
Barcelona - Gràcia,44,1627,NOx,0.42245517444440994,3.135058803398435e-32,713
Barcelona - Gràcia,44,1627,O3,-0.021391359991155174,0.5676884923429937,716
Barcelona - Gràcia,44,1627,SO2,0.022244822576925487,0.5534513489585279,712
Barcelona - Poblenou,4,3469,NO,0.23897137988112932,9.058695863110927e-11,717
Barcelona - Poblenou,4,3469,NO2,-0.0631424491747275,0.09112510585065277,717
Barcelona - Poblenou,4,3469,NOx,0.08616177451845292,0.021032072746223852,717
Barcelona - Poblenou,4,3469,PM10,0.187257785348718,4.175986090482726e-07,720
Barcelona - Ciutadella,50,10346,NO,0.11626052708509649,0.006389064137715362,549
Barcelona - Ciutadella,50,10346,NO2,-0.03659695784044654,0.39209380951010075,549
Barcelona - Ciutadella,50,10346,NOx,0.014602264618200404,0.7328172509981857,549
Barcelona - Ciutadella,50,10346,O3,0.3436708439603351,1.1528610710144344e-16,549
Barcelona - Sants,42,726,NO,0.14388112858574642,0.00011182470490817234,716
Barcelona - Sants,42,726,NO2,0.024898875172164277,0.5059305487074801,716
Barcelona - Sants,42,726,NOx,0.10553654128441908,0.004699667140244794,716
