pollutant,pearson_r,pearson_p,spearman_r,spearman_p,n
SO2,-0.20170951766160397,1.78166976894056e-27,-0.2118679324397246,3.3348737642543246e-30,2842
O3,0.15542497274733216,1.0755119565761027e-20,0.14536805328014002,2.831350246238607e-18,3561
PM2.5,-0.1474125139517904,1.084220396990593e-11,-0.14767102530019938,9.972254229501236e-12,2104
PM10,-0.13707270169890245,2.5385949864299173e-13,-0.21301957122505122,2.384798659696791e-30,2825
Black Carbon,0.09562317642810553,0.00031106223165649105,0.1685705066485652,1.6816288377664428e-10,1418
NO2,-0.09043962251394305,1.5783802283747496e-10,-0.12709478648625075,2.0856897655726177e-19,4986
NO,-0.06777508187143326,1.6676789125069222e-06,-0.1154763912150042,2.854868505866394e-16,4986
CO,-0.06434042633478668,0.0029840816138904116,-0.17362613001578528,7.261126381686751e-16,2128
NOx,-0.018582797304618058,0.2244043275425214,-0.055637327675326025,0.0002726978075690247,4276
